from Координаты игрока: X = -1313.6947021484, Y = 256.04537963867, Z = 11776.03125 | Название карты: de_vertigo | to Координаты игрока: X = -1693.0905761719, Y = 292.66015625, Z = 11776.03125 | Название карты: de_vertigo | Оружия: ssg08, awp
from Коор Dolores игрока: X = 2130.0400390625, Y = -146.61000061035, Z = 159.0299987793 | Название карты: de_inferno | to Координаты игрока: X = 1435.8800048828, Y = 183, Z = 131.82000732422 | Название карты: de_inferno | Оружия: awp, ssg08, revolver
from Координаты игрока: X = -1241.1500244141, Y = -627.11999511719, Z = 37.299999237061 | Название карты: de_overpass | to Координаты игрока: X = -595.83001708984, Y = -1366.9000244141, Z = 148.25 | Название карты: de_overpass | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1444.7299804688, Y = 244.0299987793, Z = -166.9700012207 | Название карты: de_mirage | to Координаты игрока: X = -1629.7600097656, Y = 747.91998291016, Z = -47.970001220703 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1589.9599609375, Y = -950.40997314453, Z = -191.80000305176 | Название карты: de_mirage | to Координаты игрока: X = -1018.8599853516, Y = -408.29000854492, Z = -342.33999633789 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = 935.77001953125, Y = -325.73001098633, Z = -767.96997070313 | Название карты: de_nuke | to Координаты игрока: X = 1054.3399658203, Y = -965.59002685547, Z = -767.46997070313 | Название карты: de_nuke | Оружия: awp, auto, ssg08
from Координаты игрока: X = 499.80999755859, Y = -1665.3399658203, Z = -261.86999511719 | Название карты: de_mirage | to Координаты игрока: X = 415.95999145508, Y = -2266.7900390625, Z = -39.970001220703 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = 423.20001220703, Y = -1524.8399658203, Z = -223.55999755859 | Название карты: de_mirage | to Координаты игрока: X = -701.01000976563, Y = -738.22998046875, Z = -262.92001342773 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1107.3699951172, Y = 183.89999389648, Z = -172.38000488281 | Название карты: de_mirage | to Координаты игрока: X = -1130.9000244141, Y = 658.19000244141, Z = -79.970001220703 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = 867.21997070313, Y = -14.470000267029, Z = -415.9700012207 | Название карты: de_nuke | to Координаты игрока: X = 849.25, Y = -1033.5, Z = -765.96997070313 | Название карты: de_nuke | Оружия: awp, auto, ssg08
from Координаты игрока: X = 359.57998657227, Y = 224.88999938965, Z = -415.9700012207 | Название карты: de_nuke | to Координаты игрока: X = 443.98999023438, Y = -1202.75, Z = -765.96997070313 | Название карты: de_nuke | Оружия: awp, auto, ssg08
from Координаты игрока: X = -584.91998291016, Y = 1864.2600097656, Z = -119.11000061035 | Название карты: de_dust2 | to Координаты игрока: X = -777.45001220703, Y = 2193.0300292969, Z = -111.69999694824 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = 148.49000549316, Y = -2071.2199707031, Z = -39.970001220703 | Название карты: de_mirage | to Координаты игрока: X = 268.86999511719, Y = -1487.7299804688, Z = -175.9700012207 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = 937.22998046875, Y = -265.26998901367, Z = -639.96997070313 | Название карты: de_nuke | to Координаты игрока: X = 1351.9300537109, Y = -803.65002441406, Z = -706.40002441406 | Название карты: de_nuke | Оружия: awp, auto, ssg08
from Координаты игрока: X = 564.82000732422, Y = 349.39999389648, Z = 1.4299999475479 | Название карты: de_dust2 | to Координаты игрока: X = 222.08999633789, Y = 7.6599998474121, Z = 6.8000001907349 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = 429.5, Y = -1682.5699462891, Z = -226.71000671387 | Название карты: de_mirage | to Координаты игрока: X = 992.70001220703, Y = -1900.2900390625, Z = -71.970001220703 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = 816.42999267578, Y = 2423.1999511719, Z = 127.05999755859 | Название карты: de_dust2 | to Координаты игрока: X = 266.86999511719, Y = 2422.3601074219, Z = -121.18000030518 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = 1137.3299560547, Y = -155.25999450684, Z = 302.7799987793 | Название карты: de_inferno | to Координаты игрока: X = 2070.1899414063, Y = 69.029998779297, Z = 126.51999664307 | Название карты: de_inferno | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1910.0999755859, Y = 451.26998901367, Z = 260.0299987793 | Название карты: de_overpass | to Координаты игрока: X = -1886.25, Y = -35.970001220703, Z = 132.0299987793 | Название карты: de_overpass | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1288.1199951172, Y = 248.69000244141, Z = 25.379999160767 | Название карты: de_overpass | to Координаты игрока: X = -796.66998291016, Y = 11.659999847412, Z = 90.370002746582 | Название карты: de_overpass | Оружия: awp, auto, ssg08
from Координаты игрока: X = -977.48999023438, Y = -377.85000610352, Z = -347.04000854492 | Название карты: de_mirage | to Координаты игрока: X = -240.67999267578, Y = 517.94000244141, Z = -83.120002746582 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
